,soil,theta,theta_rel,f,k_mean,k_lo,cs_lo,cf_cs,cs_plant,i_k,i_cs
0,sand,0.028749999999999998,0.22999999999999998,0.3198360000000001,50,0.6243149228328371,7.829288593036443e-05,5315423.9140012525,41.615987817043134,9.543158562784907e-16,2.010686824974232e-11
1,sand,0.033125,0.265,0.3198360000000001,50,0.9552703429202063,0.00018432281310252346,2646018.4998516627,48.77215734139776,1.458596865316859e-15,3.0935914823816164e-11
2,sand,0.0375,0.3,0.3198360000000001,50,1.3441290976952742,0.00036731825534223796,1511321.2479205749,55.513588404783945,2.049685900616326e-15,4.381199768729345e-11
3,sand,0.041874999999999996,0.33499999999999996,0.3198360000000001,50,1.7884863164199163,0.0006551966798873888,946070.673509371,61.98623642221658,2.7232649193181764e-15,5.87294580675844e-11
4,sand,0.04625,0.37,0.3198360000000001,50,2.285632740073866,0.0010790419239756488,632746.0237120052,68.27594868141436,3.4745095059243874e-15,7.567932579040205e-11
5,sand,0.050624999999999996,0.40499999999999997,0.3198360000000001,50,2.8325875927858224,0.0016725571409214879,445060.76327203,74.43895577546017,4.298161202017652e-15,9.464889114675779e-11
6,sand,0.05499999999999999,0.43999999999999995,0.3198360000000001,50,3.4261345058994994,0.0024714534304087488,325777.2624168808,80.51433327493713,5.188604504255767e-15,1.1562069277695654e-10
7,sand,0.059375,0.475,0.3198360000000001,50,4.062859890623305,0.003512787848787391,246329.12997975963,86.53019745952695,6.139946777302374e-15,1.3857164791495527e-10
8,sand,0.06375,0.51,0.3198360000000001,50,4.739193078383048,0.004834263345627282,191357.18774909823,92.50710386577836,7.146099283075737e-15,1.6347228846293704e-10
9,sand,0.06812499999999999,0.5449999999999999,0.3198360000000001,50,5.451447492656688,0.00647350610386449,152096.98081736366,98.46007337005639,8.20085754953418e-15,1.9028612782162513e-10
10,sand,0.0725,0.58,0.3198360000000001,50,6.195862075784246,0.008467327488696608,123297.18006613925,104.39976020527963,9.297979374322396e-15,2.1896891426859857e-10
11,sand,0.076875,0.615,0.3198360000000001,50,6.968642184976178,0.010851003286445726,101680.34436563867,110.33337508784783,1.04312588960981e-14,2.494683139154336e-10
12,sand,0.08124999999999999,0.6499999999999999,0.3198360000000001,50,7.765999182807668,0.013657572384448258,85128.77061066324,116.26523466142248,1.1594595343685175e-14,2.8172351428044585e-10
13,sand,0.08562499999999999,0.6849999999999999,0.3198360000000001,50,8.584188000353231,0.01691718537680159,72232.60515103099,122.19723715893048,1.2782055312145191e-14,3.15665144547725e-10
14,sand,0.09,0.72,0.3198360000000001,50,9.419542009946948,0.020656515235246253,62028.48139498211,128.12922709546368,1.3987927653483657e-14,3.5121535201408446e-10
15,sand,0.094375,0.755,0.3198360000000001,50,10.268504652746788,0.024898245891490756,53842.868007548976,134.05929671550354,1.5206770363631524e-14,3.8828805800434633e-10
16,sand,0.09874999999999999,0.7899999999999999,0.3198360000000001,50,11.127657371173594,0.02966065506291233,47195.20298299755,139.98406363028215,1.643344911317549e-14,4.267894422255065e-10
17,sand,0.103125,0.825,0.3198360000000001,50,11.993743529206268,0.034957299120451535,41736.324200808325,145.8989169275797,1.7663167348768853e-14,4.666185958121535e-10
18,sand,0.1075,0.86,0.3198360000000001,50,12.863688132711498,0.04079680341327824,37208.36406770883,151.79823142000032,1.8891488137197776e-14,5.076682938355219e-10
19,sand,0.11187499999999999,0.8949999999999999,0.3198360000000001,50,13.734613289980015,0.04718277080225591,33418.045421815565,157.67559777969015,2.0114348138938132e-14,5.498260031195591e-10
20,sand,0.11624999999999999,0.9299999999999999,0.3198360000000001,50,14.603849482763342,0.05411379428414598,30218.544961850876,163.52401256318143,2.1328064289189268e-14,5.929749191375926e-10
21,sand,0.120625,0.965,0.3198360000000001,50,15.468942819859013,0.06158357647036622,27496.95228568316,169.33606637873802,2.2529333892135363e-14,6.36995116122015e-10
22,sand,0.125,1.0,0.3198360000000001,50,16.327658535712494,0.06958114392306794,25165.455101783085,175.10411533266733,2.3715228927529652e-14,6.817647321693564e-10
23,loam,0.033166666666666664,0.18632958801498126,0.3198360000000001,50,0.6910900926183813,9.604328928667499e-05,4499488.499177402,43.21456755685623,1.056151727171467e-15,2.2282045439485532e-11
24,loam,0.03975,0.22331460674157305,0.3198360000000001,50,1.2515324308502134,0.0003179582184672271,1699006.1190476473,54.02129587773075,1.9090721991948855e-15,4.073089320375527e-11
25,loam,0.04633333333333334,0.2602996254681648,0.3198360000000001,50,1.938160485307976,0.000771384923488513,829241.1295240677,63.966410525145115,2.9497006987732614e-15,6.38034248757143e-11
26,loam,0.05291666666666667,0.2972846441947566,0.3198360000000001,50,2.7415359365689653,0.001564364972334198,469558.7451759918,73.45612534065212,4.1612549463940515e-15,9.14674690516519e-11
27,loam,0.0595,0.3342696629213483,0.3198360000000001,50,3.6509093551130993,0.0028169894236558246,293536.61202370253,82.68895315265333,5.524901571268152e-15,1.2366877395026825e-10
28,loam,0.06608333333333334,0.3712546816479401,0.3198360000000001,50,4.654510749600006,0.004656417258732559,197099.97911570274,91.77797444501853,7.020366396186034e-15,1.6032477963940637e-10
29,loam,0.07266666666666667,0.4082397003745319,0.3198360000000001,50,5.739860896230105,0.007211432214041136,139766.0711519991,100.79135479354917,8.626558674477328e-15,2.013184494974075e-10
30,loam,0.07925,0.4452247191011236,0.3198360000000001,50,6.894090491591518,0.010606802689365924,103489.84902582891,109.76964089692356,1.0322178634031863e-14,2.464935064456379e-10
31,loam,0.08583333333333333,0.48220973782771537,0.3198360000000001,50,8.104253511053201,0.014957736730720539,79379.91887972332,118.73439283088544,1.2086280361234961e-14,2.9565117694194253e-10
32,loam,0.09241666666666667,0.5191947565543071,0.3198360000000001,50,9.357621530927345,0.02036474403994354,62703.04318534735,127.69314249951248,1.3898766762717656e-14,3.4854877871599545e-10
33,loam,0.099,0.5561797752808989,0.3198360000000001,50,10.641947268596308,0.02690922914257192,50779.1458831666,136.64276722342177,1.574079963006171e-14,4.0490072973865556e-10
34,loam,0.10558333333333333,0.5931647940074907,0.3198360000000001,50,11.945688032340835,0.034650062435579804,42012.031579903014,145.571951728919,1.759511493287876e-14,4.643816236423587e-10
35,loam,0.11216666666666668,0.6301498127340824,0.3198360000000001,50,13.258182910173197,0.04362134230198178,35410.02470314307,154.46328084974348,1.9446240659787983e-14,5.26631614443148e-10
36,loam,0.11875000000000001,0.6671348314606742,0.3198360000000001,50,14.569780928431676,0.05383142278870667,30334.514207339736,163.29500593853348,2.12806210007358e-14,5.91263412709077e-10
37,loam,0.12533333333333332,0.7041198501872659,0.3198360000000001,50,15.871920721670538,0.06526321778429778,26361.34978010255,172.04265117868832,2.3086655913503325e-14,6.57870694940992e-10
38,loam,0.13191666666666665,0.7411048689138576,0.3198360000000001,50,17.15716508605647,0.07787566132044266,23201.140320395876,180.6804145839216,2.4854668744499137e-14,7.260371650107375e-10
39,loam,0.13849999999999998,0.7780898876404494,0.3198360000000001,50,18.419195943565118,0.09160614619898488,20651.71412305169,189.18239432159143,2.657681655665426e-14,7.953457966938522e-10
40,loam,0.14508333333333331,0.8150749063670412,0.3198360000000001,50,19.652776587826565,0.1063736954327123,18568.840076862423,197.52361388749057,2.824695825220193e-14,8.65387658772462e-10
41,loam,0.15166666666666664,0.8520599250936328,0.3198360000000001,50,20.85368865926285,0.12208260676336524,16847.678564331443,205.68085170448538,2.986049479678493e-14,9.35769919807937e-10
42,loam,0.15825,0.8890449438202248,0.3198360000000001,50,22.01865120314278,0.13862629951530753,15410.730744473787,213.63325759331815,3.1414194201002444e-14,1.0061226220283049e-09
43,loam,0.16483333333333333,0.9260299625468165,0.3198360000000001,50,23.1452285643638,0.15589113450635794,14199.831234562715,221.36278009547988,3.290601176903871e-14,1.0761040796953293e-09
44,loam,0.17141666666666666,0.9630149812734082,0.3198360000000001,50,24.231732953139343,0.1737600069582655,13170.718340061409,228.85441104144252,3.433491381289218e-14,1.145404775226134e-09
45,loam,0.178,1.0,0.3198360000000001,50,25.277126425751355,0.1921155736166532,12289.283725671317,236.09627922951464,3.570071077968815e-14,1.2137498223378991e-09
46,silt,0.05449999999999999,0.1841216216216216,0.3198360000000001,50,2.9607600196330166,0.0018312836294067658,413903.1574550431,75.79740764071914,4.490742733935875e-15,9.914340079908764e-11
47,silt,0.06599999999999999,0.22297297297297294,0.3198360000000001,50,4.65237397409591,0.004651976712230943,197248.4627284911,91.75952551362938,7.017192891492759e-15,1.6024549475060795e-10
48,silt,0.07749999999999999,0.2618243243243243,0.3198360000000001,50,6.593363826267496,0.009652809323747139,111343.39328018445,107.4776544792609,9.881630263893012e-15,2.3456431484241925e-10
49,silt,0.089,0.30067567567567566,0.3198360000000001,50,8.71521591835444,0.017475849180622338,70460.19359123624,123.13517164378972,1.2971633133882497e-14,3.211810293325212e-10
50,silt,0.10049999999999999,0.33952702702702703,0.3198360000000001,50,10.950673309584479,0.02864012312335862,48452.595973487354,138.7688314327028,1.6181311439772894e-14,4.187765435982648e-10
51,silt,0.11199999999999999,0.37837837837837834,0.3198360000000001,50,13.23789085197129,0.04347332172588714,35499.086267695275,154.3263198290539,1.9417739447507457e-14,5.256508357647746e-10
52,silt,0.12349999999999998,0.4172297297297297,0.3198360000000001,50,15.52340106037685,0.06207332516965691,27338.930445338956,169.70183193241584,2.2604733580023176e-14,6.398024363262316e-10
53,silt,0.13499999999999998,0.45608108108108103,0.3198360000000001,50,17.763728874140398,0.08430470149419467,21916.137526379734,184.76334320671614,2.5684089063078593e-14,7.590534858720479e-10
54,silt,0.14649999999999996,0.49493243243243235,0.3198360000000001,50,19.92575388511542,0.1098271279174633,18153.475803164634,199.37441091807372,2.861479566391575e-14,8.811955217320771e-10
55,silt,0.15799999999999997,0.5337837837837838,0.3198360000000001,50,21.98609944338478,0.13814615610710038,15448.16757201854,213.4104968972719,3.137093339098412e-14,1.0041289965639536e-09
56,silt,0.16949999999999996,0.572635135135135,0.3198360000000001,50,23.929900032727932,0.16867389249081383,13444.26145246348,226.76959108512176,3.3938926726446334e-14,1.1259752777946132e-09
57,silt,0.18099999999999997,0.6114864864864864,0.3198360000000001,50,25.749277305067586,0.20078810841550382,11921.895952237548,239.37749369762292,3.631468899203282e-14,1.2451498163902715e-09
58,silt,0.19249999999999995,0.6503378378378377,0.3198360000000001,50,27.441780066053013,0.23388169715218826,10739.98962672987,251.1887001296479,3.850100090652971e-14,1.3603951028789646e-09
59,silt,0.20399999999999996,0.689189189189189,0.3198360000000001,50,29.00895291196395,0.2673985457427937,9804.996273641218,262.1841744585173,4.050529815033864e-14,1.4707793894506319e-09
60,silt,0.21549999999999997,0.7280405405405405,0.3198360000000001,50,30.455117945891438,0.30085541716891245,9053.096117626043,272.3673009138645,4.2337918761696457e-14,1.575670763024281e-09
61,silt,0.22699999999999995,0.7668918918918918,0.3198360000000001,50,31.78639517758996,0.3338517280951544,8439.647416861495,281.75908746330157,4.401078521841966e-14,1.6746966109835107e-09
62,silt,0.23849999999999996,0.8057432432432432,0.3198360000000001,50,33.00995064428547,0.36607015973333695,7932.725108855493,290.39339477193835,4.5536458668616e-14,1.7676970460596227e-09
63,silt,0.24999999999999994,0.8445945945945944,0.3198360000000001,50,34.13344260522481,0.39727115245999994,7509.043993185193,298.3126561045522,4.6927491250762144e-14,1.8546784980255821e-09
64,silt,0.26149999999999995,0.8834459459459458,0.3198360000000001,50,35.164629654913746,0.42728391987546166,7151.317852967986,305.5643124491532,4.819600565919341e-14,1.935771359663513e-09
65,silt,0.27299999999999996,0.9222972972972973,0.3198360000000001,50,36.11110529245739,0.455995984644768,6846.507972936764,312.1980144497555,4.935344118038613e-14,2.0111936433141492e-09
66,silt,0.2845,0.9611486486486486,0.3198360000000001,50,36.98012773047123,0.48334260400336637,6584.636615898554,318.26354083443215,5.0410417470115614e-14,2.0812212421645924e-09
67,silt,0.296,1.0,0.3198360000000001,50,37.778519239095026,0.509296917191362,6357.967630763643,323.8093313950392,5.137667880540092e-14,2.1461645310398803e-09
68,clay,0.059125,0.17755255255255253,0.3198360000000001,50,1.6339872701504818,0.0005454707223599697,1097165.6018613402,59.84717133958162,2.489293298220593e-15,5.351804608586684e-11
69,clay,0.07216666666666667,0.21671671671671672,0.3198360000000001,50,3.424280319738307,0.0024687020434486506,326066.6126813987,80.49613130269488,5.185828283304622e-15,1.1555453842023457e-10
70,clay,0.08520833333333334,0.2558808808808809,0.3198360000000001,50,5.576223119581551,0.006787439359631442,146555.5150041953,99.47366709105316,8.385126595274784e-15,1.9504657302546136e-10
71,clay,0.09825,0.29504504504504503,0.3198360000000001,50,7.988836161948089,0.014506654279468817,81269.39675581867,117.89470422376462,1.1918631986480527e-14,2.908823712562757e-10
72,clay,0.11129166666666666,0.33420920920920916,0.3198360000000001,50,10.56103926799321,0.02646589481916406,51418.698756697864,136.08418730330476,1.5625209154804007e-14,4.0128559537471167e-10
73,clay,0.12433333333333334,0.37337337337337334,0.3198360000000001,50,13.200007872835046,0.04319778087547044,35666.32215632107,154.0705969142694,1.9364520990726365e-14,5.238213915619402e-10
74,clay,0.137375,0.4125375375375375,0.3198360000000001,50,15.827066822261944,0.06484726581131411,26483.98205965814,171.74138243647258,2.3024693136338032e-14,6.55535424313282e-10
75,clay,0.15041666666666667,0.4517017017017017,0.3198360000000001,50,18.380654458573918,0.09116649897043588,20722.77959801992,188.92232648874526,2.6524426185924502e-14,7.93194098992903e-10
76,clay,0.16345833333333332,0.4908658658658658,0.3198360000000001,50,20.816616140697,0.12157749246335428,16896.913485946363,205.42843719915933,2.981086570012649e-14,9.335647013673813e-10
77,clay,0.1765,0.53003003003003,0.3198360000000001,50,23.10656216283657,0.1552774828171148,14238.82165354996,221.0968384645066,3.2854982523544976e-14,1.0736704903569706e-09
78,clay,0.18954166666666666,0.5691941941941941,0.3198360000000001,50,25.235160450521196,0.19135634309791627,12322.818290477504,235.80494447258914,3.564605229821283e-14,1.2109748788044515e-09
79,clay,0.2025833333333333,0.6083583583583583,0.3198360000000001,50,27.197108561757215,0.22890087591361485,10898.901180434823,249.4768026697462,3.818634621320232e-14,1.343477581597383e-09
80,clay,0.21562499999999998,0.6475225225225224,0.3198360000000001,50,28.994286881885888,0.26707179353335436,9813.13135137824,262.08105901909767,4.0486630173182794e-14,1.4697303577641562e-09
81,clay,0.22866666666666666,0.6866866866866866,0.3198360000000001,50,30.633353910985605,0.30514994988098537,8966.871386240424,273.62403541005074,4.2562671297577786e-14,1.588793969414204e-09
82,clay,0.24170833333333333,0.7258508508508508,0.3198360000000001,50,32.12386463061716,0.34255570587307294,8294.733345154213,284.1408236078217,4.443270803581415e-14,1.7001613436848148e-09
83,clay,0.25475000000000003,0.7650150150150151,0.3198360000000001,50,33.47688483037581,0.3788485897429524,7752.078062024301,293.68638413751864,4.6115726992974155e-14,1.8036681395045891e-09
84,clay,0.26779166666666665,0.8041791791791791,0.3198360000000001,50,34.70402370792347,0.4137147192196811,7307.638859806044,302.3277759043488,4.763036022646421e-14,1.8994054670056534e-09
85,clay,0.2808333333333334,0.8433433433433435,0.3198360000000001,50,35.816793569706114,0.446948144611505,6939.014670193117,310.13797322748286,4.899423138257311e-14,1.9876431089178703e-09
86,clay,0.293875,0.8825075075075075,0.3198360000000001,50,36.826211743824544,0.4784304561839056,6629.830796086379,317.1912972193713,5.022361087030841e-14,2.0687666535757126e-09
87,clay,0.30691666666666667,0.9216716716716716,0.3198360000000001,50,37.74257419404003,0.5081113321600887,6367.901123890045,323.56027231234975,5.133327445228124e-14,2.1432288222679245e-09
88,clay,0.31995833333333334,0.9608358358358359,0.3198360000000001,50,38.57534623199051,0.5359914051200921,6144.009439854226,329.3136252738577,5.233648953176244e-14,2.2115135039505623e-09
89,clay,0.333,1.0,0.3198360000000001,50,39.3331300490398,0.5621079653267974,5951.08353966746,334.51514599722714,5.32450770039845e-14,2.2741103428153137e-09
90,sand,0.028749999999999998,0.22999999999999998,0.3198360000000001,150,1.8806999352165539,0.00023581455141760688,871196.2638312466,20.544075615206054,2.862797681987058e-15,2.0103743839939957e-11
91,sand,0.033125,0.265,0.3198360000000001,150,2.8838829820664444,0.0005562503302278532,432152.1518269533,24.038477716242014,4.375253136203019e-15,3.0924510391278435e-11
